fixture_id,event_date,team_home,team_away,polymarket_slug,primary_market_slug,primary_market_id,condition_id,polymarket_market_id,outcome,match_score,event_title
18746260,2026-05-28,Red Bull Bragantino,Carabobo FC,sud-bra-car-2026-05-27,sud-bra-car-2026-05-27-bra,2126503,0x63d8803e6b18ab08ef9b82e38f557fd62b02967df3a96595483f49ab6d649f94,95982393548466576478596063898268827007290125713669311102989920203833468038045,Red Bull Bragantino Yes,,
18935052,2026-05-26,Saint-Etienne,Nice,fl1-se-nic-2026-05-26,fl1-se-nic-2026-05-26-se,2347821,0xd8c79f4987ad48e50cbcd045509a62f44a52358d92178f09258cc82eefc9d486,12887722765426639225061228495919327366755432047401919092551597137062355529366,Saint-Etienne Yes,,
18834749,2026-05-27,Crystal Palace FC,Rayo Vallecano de Madrid,col-cry-ray-2026-05-27,col-cry-ray-2026-05-27-cry,2252990,0x9fd95559545359f3ad48201d7675c2f7d2976f9528aad363633860e9f88ce56a,60613192653229054414335859665281776379772794531001220749327347453357329866359,Crystal Palace Yes,,
18837109,2026-05-20,Independiente Santa Fe,Platense,lib-san1-cp-2026-05-19,lib-san1-cp-2026-05-19-san1,2052982,0xaea1afcfb712797802f3fc8f06bf543b036e25e9e2712ab9e026efd516d2284d,17876653389144907225793687292066337588131431468511229526905994760971094411860,Yes,0.9211,Independiente Santa Fe vs. CA Platense
18824327,2026-05-20,Always Ready,Mirassol,lib-alw-mir-2026-05-19,lib-alw-mir-2026-05-19-alw,2052994,0xd062e66b8494b3acb83d2f9966a6fde1096a54724815f0477f7e899d27a04a9e,104910094895958692127773610412579311020565711083676565067849837206761183403150,Yes,1.0,Club Always Ready vs. Mirassol FC
18826435,2026-05-20,Boca Juniors,Cruzeiro Esporte Clube,lib-boc-cru-2026-05-19,lib-boc-cru-2026-05-19-boc,2053012,0x093e1e98b2fe454efa9398419c10d35bdb415db066c97a38e25bc3261fd0f7dc,8206521142292955140269787872190632170730906758887747644993556861614994369405,Yes,0.7778,CA Boca Juniors vs. Cruzeiro EC
18665476,2026-05-20,Sao Paulo FC,Millonarios,sud-sao-mil-2026-05-19,sud-sao-mil-2026-05-19-mil,2053884,0x5d966d99c546486123c7f6fff571dc3d6923150c106062cc958906e72bf024d4,113793993222026205141024374586709223503409313980528462042349982984845023810743,Yes,0.9444,São Paulo FC vs. Millonarios FC
18824328,2026-05-20,Independiente del Valle,Libertad Asuncion,lib-ind1-lib-2026-05-19,lib-ind1-lib-2026-05-19-ind1,2053025,0xb521131106d83f37f2fdbf1d88d27becbbc4338ae8f1fce78f726e4323273448,49946895071158226846121795341732678983974472677053384433466739161476723530254,Yes,0.82,Independiente del Valle vs. Club Libertad
18665475,2026-05-20,America de Cali,Club Atlético Tigre,sud-ame-tig-2026-05-19,sud-ame-tig-2026-05-19-ame,2053885,0x8e6164b3ba720832c8d612e099b4312408917f341770b2fe18215d976e943cf1,6070297918186405600127564586540068295046914951416187062793648350176781595831,Yes,0.7765,América de Cali vs. CA Tigre
18665473,2026-05-20,Deportivo Cuenca,Deportivo Recoleta,sud-cue-rec1-2026-05-19,sud-cue-rec1-2026-05-19-rec1,2053890,0xb09cf455d0930ba2fbd0bcd554a515a546f16522d6c73e97e1f4f2dc167b8fb1,103665261813853877596866274401053566180143903295867948223661680942790219249322,Yes,0.6277,CD Cuenca vs. Recoleta FC
18826543,2026-05-20,IK Start,Bodo/Glimt,nor-ik-bog-2026-05-20-halftime-result,nor-ik-bog-2026-05-20-halftime-result-away,2198925,0x18dec84d232ef77c2ecefdc98e32cbca0866c4ad508eb86f56ea8008fd1f396b,31222076485857475242346963858683298928401570796003844298662030332336269899423,Yes,0.9737,IK Start vs. FK Bodø/Glimt - Halftime Result
18822566,2026-05-20,Lillestrom,Kristiansund KBK,nor-lil-kbk-2026-05-20-halftime-result,nor-lil-kbk-2026-05-20-halftime-result-away,2198945,0xb697471e8bf601993cfac55a02ec3e67605471045da765236acc9c50e47b5a39,71211104507257467238876945841655929017248553417872050017735765262462559318488,Yes,0.8786,Lillestrøm SK vs. Kristiansund BK - Halftime Result
18835234,2026-05-20,Sport-Club Freiburg,Aston Villa,uel-scf-ast-2026-05-20,uel-scf-ast-2026-05-20-ast,2192106,0x0f840b137d3ddc2bed00751317e7acca4c9aa207c55b47fe61786e48327410de,13028183864955883469773099195189548656082936243018147769660173620480611589760,Yes,0.8636,SC Freiburg vs. Aston Villa FC
18826467,2026-05-20,Club Nacional de Football,Universitario De Deportes,lib-nac-uni-2026-05-20,lib-nac-uni-2026-05-20-uni,2060474,0xc50c3521334c623f9333495774e6b26211c6d9a79eeeed79b711e3e4881d688b,10823334805546743167143092638939674075348806401337542863355846534699960625071,Yes,1.0,Club Nacional de Football vs. Club Universitario de Deportes
18665472,2026-05-20,Santos FC SP,San Lorenzo de Almagro,sud-san-slo-2026-05-20,sud-san-slo-2026-05-20-slo,2061740,0x11ab68afdebce76552f89dbee8b7a46adc771b63de9e044c2b2494ecd3417826,24160964968165927819688753292688727284115066467313750483562467995673835544997,Yes,0.8634,Santos FC vs. CA San Lorenzo de Almagro
18691013,2026-05-20,Club Olimpia Asuncion,CR Vasco da Gama,sud-clo-vas-2026-05-20,sud-clo-vas-2026-05-20-vas,2061743,0x6ed39b3b63161795a001be7ac84aa5c374069a94afa0d4ad5aa5ddbb845d0a57,5877690856899203616667666066641993100811791770573546059469135389194762397120,Yes,0.8043,Club Olimpia vs. CR Vasco da Gama
18665477,2026-05-20,Boston River,O'Higgins,sud-bor-ohi-2026-05-20,sud-bor-ohi-2026-05-20-bor,2061744,0xb066f4f781d9f177867f176fdc10d1211d6ae52ca92e357e36451d7b1bbcf27b,107586852711374651317338099512000655603733678240437468939120204127357708989290,Yes,0.9444,CA Boston River vs. O'Higgins FC
18675795,2026-05-21,Gremio,Palestino,sud-gre-pal-2026-05-20,sud-gre-pal-2026-05-20-pal,2061749,0xd71c069251209ce2956836a7f0e5d5147536c59484b6439c11984ebec8491b2f,114154142963513424748224279865317196012738237811670683705493610275680466279084,Yes,0.7227,Grêmio FBPA vs. CD Palestino
18824292,2026-05-21,Palmeiras SP,Cerro Porteño,lib-pal-cep-2026-05-20,lib-pal-cep-2026-05-20-cep,2060477,0x4a73822bd6b70e3a4497892dc41f96edd3bc4b4379a7afaf9d39723d718b2d67,82857871073764723522320499175255324003840428862824421660247230198546053758845,Yes,0.875,SE Palmeiras vs. Club Cerro Porteño
18826365,2026-05-21,CR Flamengo,Estudiantes de La Plata,lib-fla-est-2026-05-20,lib-fla-est-2026-05-20-est,2060486,0x4d0da23a18881ffc369a8f2d2dc3cf500948ed76c5041cecb05e13a002e3eb06,102471599839355461660985309998349897747473833393675967289299580051522017022098,Yes,1.0,CR Flamengo vs. Estudiantes de La Plata
18824291,2026-05-21,Liga Deportiva Universitaria De Quito,Lanús,lib-lqu-lan-2026-05-20,lib-lqu-lan-2026-05-20-lqu,2060498,0x98590075f243f95d2a01697ed6435d072671c88067d72cd18cef119ea3b81ab8,65098420942821619185515509284582037037849248280715290564958595081437462152927,Yes,0.5939,LDU de Quito vs. CA Lanús
18675794,2026-05-21,Club Atletico River Plate Argentina,Red Bull Bragantino,sud-riv-bra-2026-05-20,sud-riv-bra-2026-05-20-bra,2061755,0x32fa8bce78fcf49392d0d8d032231555a98b81bceabf002b0adf9d0e606bee74,62227328944840594619447113963802757750428710121067055622895975125370509830742,Yes,0.7955,CA River Plate vs. Red Bull Bragantino
18841126,2026-05-21,CDP Junior FC,Sporting Cristal,lib-jun-cri-2026-05-20,lib-jun-cri-2026-05-20-jun,2060514,0x5933b4c7b473eed044cc18983418d9cda161cf96f88ab0a4977f7caf52f64a2c,1231618191125603989271476666329907392522722111690031110536851323446117748668,Yes,0.8462,CDP Junior FC vs. CS Cristal
18826298,2026-05-21,Cusco,Independiente Medellín,lib-gar-dim-2026-05-20,lib-gar-dim-2026-05-20-dim,2060539,0xa5a310fd85ec140c68ebb130f8dba287e1d87366bcb8c819aa88bf87e4c7014f,102296706958670600803736156611829330030450645003762729698374136697292413166460,Yes,1.0,Cusco FC vs. Independiente Medellín
