ts,match_seconds,period_name,incident_name,category,home_value,away_value,player_name,confidence_grade
2026-05-28 00:15:34.607777600+00:00,0,1st Half,Score,score,0.0,0.0,,1.0
2026-05-28 00:15:34.607777600+00:00,0,1st Half,Score,score,0.0,0.0,,1.0
2026-05-28 00:15:34.607777600+00:00,0,1st Half,Score,score,0.0,0.0,,1.0
2026-05-28 00:15:34.607777600+00:00,0,1st Half,Score,score,0.0,0.0,,1.0
2026-05-28 00:15:34.607777600+00:00,0,1st Half,Score,score,0.0,0.0,,1.0
2026-05-28 00:15:34.607777600+00:00,0,1st Half,Score,score,0.0,0.0,,1.0
2026-05-28 00:15:34.610987+00:00,0,,FixtureStatus,other,,,,1.0
2026-05-28 00:16:42.093512+00:00,0,1st Half,Period,other,,,,1.0
2026-05-28 00:16:42.093512+00:00,0,1st Half,Period,other,,,,1.0
2026-05-28 00:26:01.628082600+00:00,0,,Possession,other,50.0,50.0,,1.0
2026-05-28 00:30:05.550791900+00:00,0,1st Half,Substitutions,sub,0.0,0.0,,1.0
2026-05-28 00:30:05.554149500+00:00,0,1st Half,DangerousAttacks,danger,0.0,0.0,,1.0
2026-05-28 00:30:05.557707+00:00,0,1st Half,Attacks,attack,0.0,0.0,,1.0
2026-05-28 00:30:05.579015700+00:00,0,1st Half,Penalties,penalty,0.0,0.0,,1.0
2026-05-28 00:30:05.581668+00:00,0,,FixtureStatus,other,,,,1.0
2026-05-28 00:30:12.811778200+00:00,8,1st Half,Timer,timer,,,,1.0
2026-05-28 00:30:12.818792300+00:00,0,1st Half,ThrowIns,throwin,0.0,0.0,,1.0
2026-05-28 00:30:12.821861400+00:00,0,1st Half,Total Shots,shot,0.0,0.0,,1.0
2026-05-28 00:30:12.825319200+00:00,0,1st Half,ShotsOffTarget,shot,0.0,0.0,,1.0
2026-05-28 00:30:12.830303600+00:00,0,1st Half,GoalKicks,goal_stat,0.0,0.0,,1.0
2026-05-28 00:30:12.834544600+00:00,0,1st Half,Assists,other,0.0,0.0,,1.0
