signal,alert_ts,lead_to_bbo_sec,lead_to_goal_sec,fixture_id,goal_idx,goal_ts,reaction_ts,bbo_lag_sec
early_mid_drift_1c,,,,18746260,1,2026-05-28 00:46:54.967075500+00:00,2026-05-28 00:46:45.178000+00:00,-9.789076
update_burst_5s,2026-05-28 00:46:45+00:00,0.178,9.967075,18746260,1,2026-05-28 00:46:54.967075500+00:00,2026-05-28 00:46:45.178000+00:00,-9.789076
spread_shock,2026-05-28 00:46:45+00:00,0.178,9.967075,18746260,1,2026-05-28 00:46:54.967075500+00:00,2026-05-28 00:46:45.178000+00:00,-9.789076
depth_drop_50pct,,,,18746260,1,2026-05-28 00:46:54.967075500+00:00,2026-05-28 00:46:45.178000+00:00,-9.789076
early_mid_drift_1c,2026-05-28 02:07:12+00:00,4.022,9.62237,18746260,2,2026-05-28 02:07:21.622370400+00:00,2026-05-28 02:07:16.022000+00:00,-5.600371
update_burst_5s,2026-05-28 02:07:16+00:00,0.022,5.62237,18746260,2,2026-05-28 02:07:21.622370400+00:00,2026-05-28 02:07:16.022000+00:00,-5.600371
spread_shock,2026-05-28 02:07:12+00:00,4.022,9.62237,18746260,2,2026-05-28 02:07:21.622370400+00:00,2026-05-28 02:07:16.022000+00:00,-5.600371
depth_drop_50pct,2026-05-28 02:07:16+00:00,0.022,5.62237,18746260,2,2026-05-28 02:07:21.622370400+00:00,2026-05-28 02:07:16.022000+00:00,-5.600371
early_mid_drift_1c,2026-05-28 02:24:07+00:00,3.969,5.788107,18746260,3,2026-05-28 02:24:12.788107900+00:00,2026-05-28 02:24:10.969000+00:00,-1.819108
update_burst_5s,2026-05-28 02:24:09+00:00,1.9689999999999999,3.788107,18746260,3,2026-05-28 02:24:12.788107900+00:00,2026-05-28 02:24:10.969000+00:00,-1.819108
spread_shock,2026-05-28 02:24:03+00:00,7.969,9.788107,18746260,3,2026-05-28 02:24:12.788107900+00:00,2026-05-28 02:24:10.969000+00:00,-1.819108
depth_drop_50pct,2026-05-28 02:24:03+00:00,7.969,9.788107,18746260,3,2026-05-28 02:24:12.788107900+00:00,2026-05-28 02:24:10.969000+00:00,-1.819108
early_mid_drift_1c,,,,18834749,1,2026-05-27 20:12:04.013586500+00:00,2026-05-27 20:11:56.002000+00:00,-8.011587
update_burst_5s,2026-05-27 20:11:56+00:00,0.002,8.013586,18834749,1,2026-05-27 20:12:04.013586500+00:00,2026-05-27 20:11:56.002000+00:00,-8.011587
spread_shock,,,,18834749,1,2026-05-27 20:12:04.013586500+00:00,2026-05-27 20:11:56.002000+00:00,-8.011587
depth_drop_50pct,2026-05-27 20:11:54+00:00,2.002,10.013586,18834749,1,2026-05-27 20:12:04.013586500+00:00,2026-05-27 20:11:56.002000+00:00,-8.011587
