fixture_id,event_date,goal_ts,match_seconds,scoring_side,home_score,away_score,lsports_update_time,polymarket_price_reaction_time,lsports_vs_polymarket_latency_sec,price_jump_magnitude,market_stale_window_sec
15901017,2026-05-24,2026-05-24 15:31:28.205153300+00:00,0,home,1,0,2026-05-24 15:31:28.205153300+00:00,,,,
16012237,2026-05-24,2026-05-24 17:34:17.532121500+00:00,180,away,0,1,2026-05-24 17:34:17.532121500+00:00,,,,
16012237,2026-05-24,2026-05-24 18:04:51.549204400+00:00,1980,home,1,1,2026-05-24 18:04:51.549204400+00:00,,,,
16012237,2026-05-24,2026-05-24 18:07:55.566763300+00:00,2160,home,2,1,2026-05-24 18:07:55.566763300+00:00,,,,
16012237,2026-05-24,2026-05-24 19:26:56.963235300+00:00,0,away,2,2,2026-05-24 19:26:56.963235300+00:00,,,,
16068930,2026-05-24,2026-05-24 15:23:32.406467300+00:00,1380,home,1,0,2026-05-24 15:23:32.406467300+00:00,,,,
16068930,2026-05-24,2026-05-24 16:06:49.497610100+00:00,2760,away,1,1,2026-05-24 16:06:49.497610100+00:00,,,,
16068930,2026-05-24,2026-05-24 16:21:21.222618400+00:00,3660,away,1,2,2026-05-24 16:21:21.222618400+00:00,,,,
16086585,2026-05-24,2026-05-24 16:41:44.010784700+00:00,660,home,1,0,2026-05-24 16:41:44.010784700+00:00,,,,
16086585,2026-05-24,2026-05-24 16:51:19.467670+00:00,1260,home,2,0,2026-05-24 16:51:19.467670+00:00,,,,
16086585,2026-05-24,2026-05-24 16:53:20.623745300+00:00,1255,away,2,1,2026-05-24 16:53:20.623745300+00:00,,,,
16086585,2026-05-24,2026-05-24 18:29:42.983223300+00:00,0,home,3,1,2026-05-24 18:29:42.983223300+00:00,,,,
16086591,2026-05-24,2026-05-24 16:40:33.114063500+00:00,600,away,0,1,2026-05-24 16:40:33.114063500+00:00,,,,
16086591,2026-05-24,2026-05-24 17:03:42.237680+00:00,2040,away,0,2,2026-05-24 17:03:42.237680+00:00,,,,
16086592,2026-05-24,2026-05-24 17:10:57.080312500+00:00,2400,home,1,0,2026-05-24 17:10:57.080312500+00:00,,,,
16086592,2026-05-24,2026-05-24 18:04:07.390709500+00:00,4320,away,1,1,2026-05-24 18:04:07.390709500+00:00,,,,
16086598,2026-05-24,2026-05-24 16:39:34.214040400+00:00,548,home,1,0,2026-05-24 16:39:34.214040400+00:00,,,,
16086598,2026-05-24,2026-05-24 16:52:15.001892+00:00,1309,away,1,1,2026-05-24 16:52:15.001892+00:00,,,,
16086610,2026-05-24,2026-05-24 16:36:50.236499100+00:00,420,home,1,0,2026-05-24 16:36:50.236499100+00:00,,,,
16086610,2026-05-24,2026-05-24 18:12:03.040306400+00:00,4860,home,2,0,2026-05-24 18:12:03.040306400+00:00,,,,
16086610,2026-05-24,2026-05-24 18:28:09.872650800+00:00,0,home,3,0,2026-05-24 18:28:09.872650800+00:00,,,,
16086619,2026-05-24,2026-05-24 16:34:17.158291900+00:00,240,home,1,0,2026-05-24 16:34:17.158291900+00:00,,,,
16086619,2026-05-24,2026-05-24 16:45:54.917733700+00:00,900,home,2,0,2026-05-24 16:45:54.917733700+00:00,,,,
