event_slug,market_id,n_alerts,true_alerts,false_alerts,precision,covered_moves,move_recall,median_lead_sec,strategy,n_moves
epl-bou-mac-2026-05-19,2170973,4,1,3,0.25,1,0.3333333333333333,5.0,mid1c,3
epl-bou-mac-2026-05-19,2170973,1,0,1,0.0,0,0.0,,mid1c_and_spread2c,3
epl-bou-mac-2026-05-19,2170973,4,1,3,0.25,1,0.3333333333333333,5.0,mid1c_and_update10,3
epl-bou-mac-2026-05-19,2170973,4,1,3,0.25,1,0.3333333333333333,9.0,spread2c_or_depth50_update10,3
lal-bar-bet-2026-05-17,2172312,6,1,5,0.16666666666666666,1,0.3333333333333333,5.0,mid1c,3
lal-bar-bet-2026-05-17,2172312,2,0,2,0.0,0,0.0,,mid1c_and_spread2c,3
lal-bar-bet-2026-05-17,2172312,5,1,4,0.2,1,0.3333333333333333,5.0,mid1c_and_update10,3
lal-bar-bet-2026-05-17,2172312,7,1,6,0.14285714285714285,1,0.3333333333333333,9.0,spread2c_or_depth50_update10,3
epl-che-tot-2026-05-19,2170978,5,1,4,0.2,1,0.2,5.0,mid1c,5
epl-che-tot-2026-05-19,2170978,3,0,3,0.0,0,0.0,,mid1c_and_spread2c,5
epl-che-tot-2026-05-19,2170978,5,1,4,0.2,1,0.2,5.0,mid1c_and_update10,5
epl-che-tot-2026-05-19,2170978,7,1,6,0.14285714285714285,1,0.2,9.0,spread2c_or_depth50_update10,5
lal-sev-rea-2026-05-17,2172338,3,0,3,0.0,0,0.0,,mid1c,2
lal-sev-rea-2026-05-17,2172338,2,0,2,0.0,0,0.0,,mid1c_and_spread2c,2
lal-sev-rea-2026-05-17,2172338,3,0,3,0.0,0,0.0,,mid1c_and_update10,2
lal-sev-rea-2026-05-17,2172338,6,0,6,0.0,0,0.0,,spread2c_or_depth50_update10,2
lal-mad-gir-2026-05-17,2172309,6,0,6,0.0,0,0.0,,mid1c,2
lal-mad-gir-2026-05-17,2172309,1,0,1,0.0,0,0.0,,mid1c_and_spread2c,2
lal-mad-gir-2026-05-17,2172309,5,0,5,0.0,0,0.0,,mid1c_and_update10,2
lal-mad-gir-2026-05-17,2172309,9,0,9,0.0,0,0.0,,spread2c_or_depth50_update10,2
lal-ray-vil-2026-05-17,2172317,4,0,4,0.0,0,0.0,,mid1c,2
lal-ray-vil-2026-05-17,2172317,0,0,0,,0,0.0,,mid1c_and_spread2c,2
lal-ray-vil-2026-05-17,2172317,4,0,4,0.0,0,0.0,,mid1c_and_update10,2
lal-ray-vil-2026-05-17,2172317,6,0,6,0.0,0,0.0,,spread2c_or_depth50_update10,2
lal-bil-cel-2026-05-17,2172333,4,0,4,0.0,0,0.0,,mid1c,2
lal-bil-cel-2026-05-17,2172333,1,0,1,0.0,0,0.0,,mid1c_and_spread2c,2
lal-bil-cel-2026-05-17,2172333,4,0,4,0.0,0,0.0,,mid1c_and_update10,2
lal-bil-cel-2026-05-17,2172333,9,0,9,0.0,0,0.0,,spread2c_or_depth50_update10,2
lal-elc-get-2026-05-17,2172339,5,0,5,0.0,0,0.0,,mid1c,3
lal-elc-get-2026-05-17,2172339,4,0,4,0.0,0,0.0,,mid1c_and_spread2c,3
lal-elc-get-2026-05-17,2172339,5,0,5,0.0,0,0.0,,mid1c_and_update10,3
lal-elc-get-2026-05-17,2172339,7,0,7,0.0,0,0.0,,spread2c_or_depth50_update10,3
lal-lev-mal-2026-05-17,2172302,3,0,3,0.0,0,0.0,,mid1c,3
lal-lev-mal-2026-05-17,2172302,1,0,1,0.0,0,0.0,,mid1c_and_spread2c,3
lal-lev-mal-2026-05-17,2172302,3,0,3,0.0,0,0.0,,mid1c_and_update10,3
lal-lev-mal-2026-05-17,2172302,7,0,7,0.0,0,0.0,,spread2c_or_depth50_update10,3
lal-rso-val-2026-05-17,2172349,4,0,4,0.0,0,0.0,,mid1c,3
lal-rso-val-2026-05-17,2172349,1,0,1,0.0,0,0.0,,mid1c_and_spread2c,3
lal-rso-val-2026-05-17,2172349,4,0,4,0.0,0,0.0,,mid1c_and_update10,3
lal-rso-val-2026-05-17,2172349,6,0,6,0.0,0,0.0,,spread2c_or_depth50_update10,3
lal-osa-esp-2026-05-17,2172325,3,0,3,0.0,0,0.0,,mid1c,3
lal-osa-esp-2026-05-17,2172325,2,0,2,0.0,0,0.0,,mid1c_and_spread2c,3
lal-osa-esp-2026-05-17,2172325,3,0,3,0.0,0,0.0,,mid1c_and_update10,3
lal-osa-esp-2026-05-17,2172325,10,0,10,0.0,0,0.0,,spread2c_or_depth50_update10,3
egy1-ems-eas-2026-05-20,2176984,7,1,6,0.14285714285714285,1,0.2,5.0,mid1c,5
egy1-ems-eas-2026-05-20,2176984,3,1,2,0.3333333333333333,1,0.2,4.0,mid1c_and_spread2c,5
egy1-ems-eas-2026-05-20,2176984,7,1,6,0.14285714285714285,1,0.2,5.0,mid1c_and_update10,5
egy1-ems-eas-2026-05-20,2176984,14,2,12,0.14285714285714285,2,0.4,6.5,spread2c_or_depth50_update10,5
fif-mex-gha-2026-05-22,2181609,11,1,10,0.09090909090909091,1,0.14285714285714285,5.0,mid1c,7
fif-mex-gha-2026-05-22,2181609,5,0,5,0.0,0,0.0,,mid1c_and_spread2c,7
fif-mex-gha-2026-05-22,2181609,10,1,9,0.1,1,0.14285714285714285,5.0,mid1c_and_update10,7
fif-mex-gha-2026-05-22,2181609,8,1,7,0.125,1,0.14285714285714285,8.0,spread2c_or_depth50_update10,7
egy1-zas-ccc-2026-05-20,2176979,4,0,4,0.0,0,0.0,,mid1c,2
egy1-zas-ccc-2026-05-20,2176979,1,0,1,0.0,0,0.0,,mid1c_and_spread2c,2
