n_events,n_live_events,n_goals,final_home,final_away,n_yellow,n_red,ts_start,ts_end,match_seconds_max,mean_confidence,fixture_id,home,away,league_name,status,start_date_utc,event_date
5,1,1,1,0,0,0,2026-05-24 15:31:28.205153300+00:00,2026-05-24 15:31:28.219935800+00:00,5400,1.0,15901017,Prison Leopards,Nkwazi,Super League,3,2026-05-24T13:00:00Z,2026-05-24
2951,2279,4,2,2,47,0,2026-05-24 17:25:21.799801300+00:00,2026-05-24 19:28:34.823843700+00:00,5748,0.7690003849429792,16012237,Olimpia Grudziadz,Hutnik Nowa Huta,2 Liga,3,2026-05-24T17:30:00Z,2026-05-24
1761,1385,0,0,0,5,0,2026-05-24 14:55:23.825433100+00:00,2026-05-24 16:56:27.294217100+00:00,5618,0.9942259372918573,16050307,SV Eberau,Sk Pama,Landesliga,3,2026-05-24T15:00:00Z,2026-05-24
28138,2868,3,1,2,9,0,2026-05-24 14:45:34.744121500+00:00,2026-05-24 17:13:55.043313200+00:00,6060,0.7052104645197929,16068930,Manchester City,Aston Villa,Premier League,3,2026-05-24T15:00:00Z,2026-05-24
11968,2954,4,3,1,89,0,2026-05-24 16:16:32.726283800+00:00,2026-05-24 19:09:23.739024200+00:00,5870,0.7076645539633604,16086585,Sporting Gijon,Almeria,LaLiga2,3,2026-05-24T16:30:00Z,2026-05-24
9206,2707,2,0,2,67,10,2026-05-24 16:16:40.480529100+00:00,2026-05-24 19:06:14.662412400+00:00,5649,0.7031106092653049,16086591,Valladolid,Deportivo La Coruna,LaLiga2,3,2026-05-24T16:30:00Z,2026-05-24
11552,2313,2,1,1,46,0,2026-05-24 16:15:45.950504900+00:00,2026-05-24 19:09:23.500912500+00:00,5839,0.7132774574626878,16086592,Las Palmas,Zaragoza,LaLiga2,3,2026-05-24T16:30:00Z,2026-05-24
13970,2727,2,1,1,32,0,2026-05-24 16:15:25.114961500+00:00,2026-05-24 19:06:14.848460700+00:00,5949,0.7329805063799927,16086598,Huesca,Castellon,LaLiga2,3,2026-05-24T16:30:00Z,2026-05-24
16003,2659,3,3,0,76,0,2026-05-24 16:16:33.601680900+00:00,2026-05-24 19:06:15.236094600+00:00,5820,0.7344598973725808,16086610,Cadiz,Leganés,LaLiga2,3,2026-05-24T16:30:00Z,2026-05-24
8629,1649,2,2,0,43,0,2026-05-24 16:15:38.926470900+00:00,2026-05-24 19:09:23.547804+00:00,5760,0.7409688076837135,16086619,Eibar,Cordoba,LaLiga2,3,2026-05-24T16:30:00Z,2026-05-24
11793,2843,2,0,2,67,0,2026-05-24 16:16:40.317867700+00:00,2026-05-24 19:09:23.656547200+00:00,5700,0.7204105439293315,16086620,Cultural Leonesa,Burgos CF,LaLiga2,3,2026-05-24T16:30:00Z,2026-05-24
8863,1708,2,1,1,45,0,2026-05-24 16:16:23.811254+00:00,2026-05-24 19:09:23.898237900+00:00,5872,0.7508921071927133,16086621,Malaga,Racing Santander,LaLiga2,3,2026-05-24T16:30:00Z,2026-05-24
1960,1329,3,3,0,16,0,2026-05-24 15:55:24.675847400+00:00,2026-05-24 17:53:27.833215100+00:00,5410,0.8906325367460624,16086626,Real Murcia,CD Eldense,Primera Division RFEF,3,2026-05-24T16:00:00Z,2026-05-24
10993,2668,4,3,1,53,0,2026-05-24 16:16:49.337653900+00:00,2026-05-24 19:06:14.698606100+00:00,5752,0.7136106382779577,16086627,Mirandes,Granada CF,LaLiga2,3,2026-05-24T16:30:00Z,2026-05-24
9627,1771,6,5,1,10,0,2026-05-24 18:45:54.475870900+00:00,2026-05-24 21:13:06.536759500+00:00,5460,0.6905874708667172,16086629,Villarreal,Atletico Madrid,LaLiga,3,2026-05-24T19:00:00Z,2026-05-24
1258,1243,3,3,0,0,0,2026-05-24 13:30:19.853123600+00:00,2026-05-24 15:45:33.301478+00:00,5539,0.9933151724905644,16099596,Belusa,TJ Druzstevnik Velke Ludince,Liga 3,3,2026-05-24T13:30:00Z,2026-05-24
828,747,4,3,1,0,1,2026-05-24 10:00:23.709857+00:00,2026-05-24 12:18:58.460677500+00:00,5400,0.9125893969890694,16111065,Sparta Kazimierza Wielka,Siarka Tarnobrzeg,League 3,3,2026-05-24T10:00:00Z,2026-05-24
2057,1416,4,3,1,6,0,2026-05-24 14:55:23.374903900+00:00,2026-05-24 16:55:35.462140200+00:00,5685,0.9313500042747288,16111091,Mlawianka Mlawa,Lechia Tomaszow Mazowiecki,League 3,3,2026-05-24T15:00:00Z,2026-05-24
1831,1406,9,13,1,2,0,2026-05-24 14:55:23.868420600+00:00,2026-05-24 16:49:48.682007200+00:00,5460,0.9407659428520634,16111097,Pogon II Szczecin,Wda Swiecie,League 3,3,2026-05-24T15:00:00Z,2026-05-24
