fixture_id,event_date,market_id,threshold,n_alerts,true_alerts,false_alerts,precision,goal_recall,bbo_preempt_alerts,unique_bbo_moves_preempted,mean_goal_lead_sec
18746260,2026-05-28,2126503,0.184,6,0,6,0.0,0.0,0,0,
18746260,2026-05-28,2126503,0.283,5,0,5,0.0,0.0,0,0,
18746260,2026-05-28,2126503,0.466,5,0,5,0.0,0.0,0,0,
18746260,2026-05-28,2126503,0.624,5,0,5,0.0,0.0,0,0,
18746260,2026-05-28,2126503,0.739,4,2,2,0.5,0.6666666666666666,2,2,174.3934605
18746260,2026-05-28,2126503,0.848,5,4,1,0.8,1.0,4,3,90.22963675000001
18935052,2026-05-26,2347821,0.01,9,0,9,0.0,0.0,0,0,
18935052,2026-05-26,2347821,0.016,6,0,6,0.0,0.0,0,0,
18935052,2026-05-26,2347821,0.027,4,0,4,0.0,0.0,0,0,
18935052,2026-05-26,2347821,0.089,6,0,6,0.0,0.0,0,0,
18935052,2026-05-26,2347821,0.259,7,0,7,0.0,0.0,0,0,
18935052,2026-05-26,2347821,0.6,4,1,3,0.25,0.16666666666666666,0,0,169.761802
18834749,2026-05-27,2252990,0.005,6,0,6,0.0,0.0,0,0,
18834749,2026-05-27,2252990,0.007,6,0,6,0.0,0.0,0,0,
18834749,2026-05-27,2252990,0.014,8,0,8,0.0,0.0,0,0,
18834749,2026-05-27,2252990,0.025,9,0,9,0.0,0.0,0,0,
18834749,2026-05-27,2252990,0.052,7,0,7,0.0,0.0,0,0,
18834749,2026-05-27,2252990,0.099,4,0,4,0.0,0.0,0,0,
